OpenFork Discoveries — 2026-08-14
共 300 个仓库（每日上限 300）
条件: 主流语言 · Star 1-20 · 90 天内更新 · 含 README 与许可证 · 非 fork · 非空仓库

1. https://github.com/PunishXIV/Questionable |  | C# | 21 stars | AGPL-3.0
67. https://github.com/kotoba-rin/Lacan-Chinese-Translation-Project |  | JavaScript | 20 stars | CC-BY-4.0
68. https://github.com/ChinmayKaitade/GitHub-Terminal-Stats-OpenSource | Create dynamic, terminal-style GitHub Stats for your Profile README! Automatically updates with GitHub Actions. | JavaScript | 20 stars | MIT
69. https://github.com/yama-dev/js-scroll-effect-module | [v0.13.6] Add effect at scroll. | JavaScript | 20 stars | MIT
70. https://github.com/CLIuno/core | Cliuno is a CLI to make your journey in web development less painful. | JavaScript | 20 stars | AGPL-3.0
71. https://github.com/fmacpro/horseman-article-parser | A web page article parser which returns an object containing the article's formatted text and other attributes including sentiment, keyphrases, people, places, organisations, spelling suggestions, in-article links, meta data & lighthouse audit results. | JavaScript | 20 stars | GPL-3.0
72. https://github.com/santhoshtr/CLDRPluralRuleParser | CLDR Plural Rule Parser | JavaScript | 20 stars | MIT
73. https://github.com/googleads/googleads-viewability-insights-extension | A DevTools extension for inspecting the viewability of Ad Manager Ads. | JavaScript | 20 stars | Apache-2.0
74. https://github.com/stefanbohacek/mastodon-tools | Making Mastodon easier to use. | JavaScript | 20 stars | MIT
75. https://github.com/biodatlab/biodatlab.github.io | Website for Biomedical and Data (Bio-Dat) lab at Mahidol University, Thailand | JavaScript | 20 stars | MIT
76. https://github.com/qwerfd2/buried-city | Code repo for modded Buried Town | JavaScript | 20 stars | NOASSERTION
77. https://github.com/rickyfont94/climate-cluster-card | Wide-arc instrument-cluster climate (HVAC) card for Home Assistant: a two-ring temp/fan dial with a mode pop-up, swing/LED/sound toggles, and a full GUI editor. | JavaScript | 20 stars | MIT
78. https://github.com/birdofpreyru/babel-preset-svgr | Babel preset for SVG importing into React apps using Babel & SVGR | JavaScript | 20 stars | NOASSERTION
79. https://github.com/eroxmerox/AmbientGlass | Premium glassmorphism theme for Spicetify with atmospheric glows, floating UI elements, and Apple-style aesthetics. | JavaScript | 20 stars | MIT
80. https://github.com/newrelic/nr1-github | NR1 Github allows you to create more context to your entities by having access to the GitHub repository, contributors and README. | JavaScript | 20 stars | Apache-2.0
81. https://github.com/putoutjs/printer | Easiest possible opinionated Babel AST printer | JavaScript | 20 stars | MIT
82. https://github.com/logimaxx/zbxwizz | ZbxWizz is a data-driven tool that simplifies and automates Zabbix configuration workflows. It lets administrators and DevOps engineers perform bulk operations—such as onboarding hosts, updating tags, or generating reports—through an intuitive spreadsheet-like interface powered by JavaScript transformations and Zabbix API integration. | JavaScript | 20 stars | MIT
83. https://github.com/Yanel85/IP-Location-Finder | A Chrome extension that identifies the geographic location of IP addresses on a webpage. | JavaScript | 20 stars | GPL-3.0
84. https://github.com/kgstorm/home-assistant-calorie-tracker | Calorie and weight tracker with Voice Assist support. | JavaScript | 20 stars | MIT
85. https://github.com/axelarnetwork/axelar-contract-deployments | Contract deployment scripts and resources for Axelar | JavaScript | 20 stars | MIT
86. https://github.com/Darkstarrd-dev/tinyrouter | Lightweight Utilities bundled local based API router 、 AI Chat 、Image Generation、 Stream Vedio Download Manager、 Image Viewer、 Video Player ....... with extremely tiny size | JavaScript | 20 stars | NOASSERTION
87. https://github.com/pengutronix/flamingo | python3-based, pelican-inspired static site generator | JavaScript | 20 stars | Apache-2.0
88. https://github.com/kaermorchen/ember-photoswipe | An Ember addon for using Photoswipe in Ember applications. | JavaScript | 20 stars | MIT
89. https://github.com/liuyuchenzh/webpack-upload-plugin | A plugin for webpack | JavaScript | 20 stars | MIT
90. https://github.com/rticommunity/rticonnextdds-connector-js | RTI Connector for Connext DDS is a lightweight technology that enables DDS data to be accessed with JavaScript. | JavaScript | 20 stars | NOASSERTION
91. https://github.com/italia/design-comuni-plone-theme | Tema Plone per i siti dei comuni italiani | JavaScript | 20 stars | GPL-3.0
92. https://github.com/yunusemre-dev/yunusemre.dev | A minimal personal website with an AI clone, live operator chat, work history, and a visual life dump. | JavaScript | 20 stars | MIT
93. https://github.com/meatflavourdev/legendary-octo-chainsaw | A real-time collaborative diagram editor and document library that enables users to chat, create, & communicate visually in real-time. (CAUTION: This is alpha software) | JavaScript | 20 stars | MIT
94. https://github.com/ariya/chat-llm | Chat with an LLM | JavaScript | 20 stars | MIT
95. https://github.com/e404-tagnet/IOS-Widgets | IOS WIDGETS: fully customisable on color and themes, built with the scriptable app, zero cost and great for beginners! | JavaScript | 20 stars | GPL-3.0
96. https://github.com/gopalparashar421/lightweight-charts-python | Python framework for TradingView's Lightweight Charts JavaScript library. | JavaScript | 20 stars | MIT
97. https://github.com/ichris007/obsidian-share-showcase | 都是个人使用Obsidian中写的或收集的脚本和样式代码 | JavaScript | 20 stars | MIT
98. https://github.com/d-zero-dev/frontend-guidelines | D-ZERO Frontend Developer's Guideline | JavaScript | 20 stars | NOASSERTION
99. https://github.com/nextcloud/data_request | :man_judge: Nextcloud app to let users request a data export or account removal | JavaScript | 20 stars | AGPL-3.0
100. https://github.com/jelastic-jps/lets-encrypt | Let’s Encrypt Add-on for Jelastic PaaS | JavaScript | 20 stars | Apache-2.0
101. https://github.com/aodn/aodn-portal | AODN Open Geospatial Portal | JavaScript | 20 stars | GPL-3.0
102. https://github.com/JRGTH/xigmanas-bastille-extension |  | JavaScript | 20 stars | BSD-3-Clause
103. https://github.com/Funlang/z-data | Z-data is an extremely lightweight zero configuration embedded mini front-end js framework. | JavaScript | 20 stars | MIT
104. https://github.com/craigbuckler/publican | simple and fast static site generator | JavaScript | 20 stars | MIT
105. https://github.com/srp33/CodeBuddy | CodeBuddy: A programming assignment management system for short-form exercises | JavaScript | 20 stars | AGPL-3.0
106. https://github.com/MateuszDabrowski/diagramforce | Free diagramming solution created with Salesforce Architects in mind | JavaScript | 20 stars | NOASSERTION
107. https://github.com/BzGEO/PACE_OCI_Toolkit | Google Earth Engine (GEE) JavaScript-based tools for working with NASA PACE OCI data | JavaScript | 20 stars | MIT
108. https://github.com/zmsp/AppRankly | Self-hosted, open-source mobile app analytics & ASO dashboard for Google Play Store and Apple App Store. | JavaScript | 20 stars | NOASSERTION
109. https://github.com/sf-cola/select_to_select2 | This is a repository of select to select 2 which is a redmine plugin. | JavaScript | 20 stars | GPL-3.0
110. https://github.com/gravitee-io/gravitee-ui-components | 🧱 Set of UI components used across the Gravitee.io ecosystem. | JavaScript | 20 stars | Apache-2.0
111. https://github.com/valette/desk | DESK exposing server kit : HTML5 solution for remote processing and visualization | JavaScript | 20 stars | NOASSERTION
112. https://github.com/contrastsecurity/contrast | CodeSec by Contrast - The fastest and most accurate SAST scanner. Scan code and serverless environments | JavaScript | 20 stars | MIT
113. https://github.com/anvaka/simplegrad | Simple reverse mode automatic differentiation of scalar values in javascript | JavaScript | 20 stars | MIT
114. https://github.com/rhenryw/SPLASH | Secure Proxy for Live Audiovisual SHell- a CLI themed web proxy | JavaScript | 20 stars | AGPL-3.0
115. https://github.com/Radexito/DjManager | Your music library, built for DJs. Import tracks, analyse BPM and key automatically, build playlists, and prepare sets — all offline, all on your machine. | JavaScript | 20 stars | MIT
116. https://github.com/navariltd/Junior-School | Junior School is a custom Frappe application that extends the core Frappe Education. It provides comprehensive tools for scheduling, attendance tracking, assessment management, and automated student lifecycle processes, specifically designed for multi-school environments. | JavaScript | 20 stars | AGPL-3.0
117. https://github.com/SeanWong17/Sauropsida-tree | DeepTime Sauropsida：交互式蜥形纲演化树，3D 螺旋序幕 + D3.js 动态时间树，跨越 3 亿年 | Interactive sauropsid phylogeny with 3D spiral intro & D3.js dynamic timetree spanning 300 Myr | JavaScript | 20 stars | NOASSERTION
118. https://github.com/OpenImagingLab/InstantRetouch | [CVPR 2026] InstantRetouch: Efficient and High-Fidelity Instruction-Guided Image Retouching with Bilateral Space | JavaScript | 20 stars | Apache-2.0
119. https://github.com/kongxcer555/codex-skin-builder | A Codex skill for building and customizing Codex skins. | JavaScript | 20 stars | MIT
120. https://github.com/hydroCoderClaud/cc-desktop | Hydro Desktop — A native desktop workspace for Claude Code, with project-based agents, Notebooks, capability management, scheduled tasks, and IM bridges. | JavaScript | 20 stars | NOASSERTION
121. https://github.com/LunarWerxs/NormWind |  | JavaScript | 20 stars | MIT
122. https://github.com/asamuzaK/semverParser | Parse, verify, compare SemVer | JavaScript | 20 stars | MIT
123. https://github.com/DrakiaXYZ/SPT-LiveFleaPriceDB | Auto updated repo containing SPT flea prices | JavaScript | 20 stars | MIT
124. https://github.com/Qbix/Platform | Free, open-source community platform, decentralized alternative to Big Tech. For apps that empower people and unite communities. | JavaScript | 20 stars | AGPL-3.0
125. https://github.com/NaturalIntelligence/fastify-xml-body-parser | Fastify plugin / module to parse XML payload / body into JS object | JavaScript | 20 stars | MIT
126. https://github.com/herbert-julio-azion/specialist-agent | Your AI development team — 27+ agents and 21 skills that build, review, debug, and ship production code. Works with Claude Code, Cursor, VS Code, Windsurf, Codex, and OpenCode. 7 framework packs: Vue, React, Next.js, SvelteKit, Angular, Astro, Nuxt. | JavaScript | 20 stars | MIT
127. https://github.com/Nexus-Mods/node-nexus-api | Node.js client for the nexusmods.com API | TypeScript | 20 stars | GPL-3.0
128. https://github.com/Suvraneel/Suvraneel.github.io | 3D Portfolio UI | TypeScript | 20 stars | AGPL-3.0
129. https://github.com/kuoruan/verdaccio-openid | 📦🔐 OpenIDConnect plugin for Verdaccio, fork of https://github.com/n4bb12/verdaccio-github-oauth-ui | TypeScript | 20 stars | MIT
130. https://github.com/Apollon77/ioBroker.homekit-controller | Pair and control HomeKit devices directly | TypeScript | 20 stars | MIT
131. https://github.com/ByronMunozG/react-image-area | react components to select multiple areas on a image | TypeScript | 20 stars | MIT
132. https://github.com/ziaulhoque24/react-rating-star-with-type | This simple react rating star component with typescript support made by Ziaul Hoque Founder of roktoshare.com | TypeScript | 20 stars | MIT
133. https://github.com/proof/proof-vc-web | Web Components for Proof Digital Credentials. | TypeScript | 20 stars | Apache-2.0
134. https://github.com/Eigenwise/tesseron | Expose typed web-app actions to MCP-compatible AI agents over WebSocket. TypeScript SDK + matching MCP gateway. | TypeScript | 20 stars | NOASSERTION
135. https://github.com/kernel/just-html | Agent-first minimal HTML document host. Your agent self-onboards, gets an API key, and publishes HTML to a stable URL — private by default, shareable, with comments & reactions for humans and their agents. | TypeScript | 20 stars | MIT
136. https://github.com/Spritz-Labs/spritz | Spritz is a decentralized, permission-less and censorship resistant chat app for web3. Connect with friends using passkeys or wallets. Make HD video calls, go live to your followers, and chat freely on a decentralized network. | TypeScript | 20 stars | NOASSERTION
137. https://github.com/Faceplugin-ltd/FaceRecognition-React-Native | Face recognition React Native Plugin with 3D passive liveness detection (Face Detection, Face Landmarks, Face Recognition, Face Liveness, Face Pose, Face Expression, Face attributes) | TypeScript | 20 stars | MIT
138. https://github.com/saihgupr/keyboard-maestro-mcp | An MCP server for Keyboard Maestro. Manage your macros with natural language commands. | TypeScript | 20 stars | MIT
139. https://github.com/getversive/whisker | AI-powered usability testing CLI | TypeScript | 20 stars | MIT
140. https://github.com/kelani34/depguarder |  | TypeScript | 20 stars | ISC
141. https://github.com/avacocloud/avaco-deno |  | TypeScript | 20 stars | NOASSERTION
142. https://github.com/rdfjs/types | Authoritative TypeScript typings for all RDFJS specifications | TypeScript | 20 stars | MIT
143. https://github.com/auguwu/clippy-action | 🐻‍❄️📦 GitHub action to run Clippy, an up-to-date and modern version of actions-rs/clippy | TypeScript | 20 stars | Apache-2.0
144. https://github.com/borbiuk/band-play | Multifunctional Chrome/Firefox extension for Bandcamp | TypeScript | 20 stars | MIT
145. https://github.com/bitflyer-tools/cycle-flyer | :zap: web client for bitFlyer lightning made by Cycle.js | TypeScript | 20 stars | MIT
146. https://github.com/safe-global/safe-events-service | Handle Safe indexing events from Transaction Service and deliver as HTTP webhooks | TypeScript | 20 stars | NOASSERTION
147. https://github.com/nirholas/xspace-AI | TypeScript SDK and CLI for building AI agents that autonomously join, listen, and speak in X/Twitter Spaces. Supports multiple LLM providers (OpenAI, Claude, Groq), speech-to-text (Whisper, Deepgram), text-to-speech (ElevenLabs, OpenAI), multi-agent coordination, middleware pipelines, and a real-time admin dashboard. No Twitter API approval needed  | TypeScript | 20 stars | NOASSERTION
148. https://github.com/rosset-nocpes/hikka-features | Extension which enhances hikka.io | TypeScript | 20 stars | MIT
149. https://github.com/njiedev/miituber | Turn your Mii into a VTuber with webcam head tracking, voice-reactive lip sync, and transparent OBS capture. | TypeScript | 20 stars | AGPL-3.0
150. https://github.com/Hurtak/hello | Chrome extension that replaces new tab page with widgets and fresh image every day. | TypeScript | 20 stars | MIT
